,Chapter Name,Chapter Number,Verse Number,Arabic Text
0,الفاتحة,1,1,بسم الله الرحمن الرحيم
1,الفاتحة,1,2,الحمد لله رب العالمين
2,الفاتحة,1,3,الرحمن الرحيم
3,الفاتحة,1,4,مالك يوم الدين
4,الفاتحة,1,5,إياك نعبد وإياك نستعين
5,الفاتحة,1,6,اهدنا الصراط المستقيم
6,الفاتحة,1,7,صراط الذين أنعمت عليهم غير المغضوب عليهم ولا الضالين
7,البقرة,2,1,  الم
8,البقرة,2,2,ذلك الكتاب لا ريب ۛ فيه ۛ هدى للمتقين
9,البقرة,2,3,الذين يؤمنون بالغيب ويقيمون الصلاة ومما رزقناهم ينفقون
10,البقرة,2,4,والذين يؤمنون بما أنزل إليك وما أنزل من قبلك وبالآخرة هم يوقنون
11,البقرة,2,5,أولئك على هدى من ربهم ۖ وأولئك هم المفلحون
12,البقرة,2,6,إن الذين كفروا سواء عليهم أأنذرتهم أم لم تنذرهم لا يؤمنون
13,البقرة,2,7,ختم الله على قلوبهم وعلى سمعهم ۖ وعلى أبصارهم غشاوة ۖ ولهم عذاب عظيم
14,البقرة,2,8,ومن الناس من يقول آمنا بالله وباليوم الآخر وما هم بمؤمنين
15,البقرة,2,9,يخادعون الله والذين آمنوا وما يخدعون إلا أنفسهم وما يشعرون
16,البقرة,2,10,في قلوبهم مرض فزادهم الله مرضا ۖ ولهم عذاب أليم بما كانوا يكذبون
17,البقرة,2,11,وإذا قيل لهم لا تفسدوا في الأرض قالوا إنما نحن مصلحون
18,البقرة,2,12,ألا إنهم هم المفسدون ولكن لا يشعرون
19,البقرة,2,13,وإذا قيل لهم آمنوا كما آمن الناس قالوا أنؤمن كما آمن السفهاء ۗ ألا إنهم هم السفهاء ولكن لا يعلمون
20,البقرة,2,14,وإذا لقوا الذين آمنوا قالوا آمنا وإذا خلوا إلى شياطينهم قالوا إنا معكم إنما نحن مستهزئون
21,البقرة,2,15,الله يستهزئ بهم ويمدهم في طغيانهم يعمهون
22,البقرة,2,16,أولئك الذين اشتروا الضلالة بالهدى فما ربحت تجارتهم وما كانوا مهتدين
23,البقرة,2,17,مثلهم كمثل الذي استوقد نارا فلما أضاءت ما حوله ذهب الله بنورهم وتركهم في ظلمات لا يبصرون
